"purpose","total_loans","default_rate_pct"
moving,65,30.77
medical,94,23.40
other,518,22.97
vacation,71,22.54
small_business,130,21.54
renewable_energy,5,20.00
debt_consolidation,5866,19.83
major_purchase,223,18.39
credit_card,2168,17.71
house,69,15.94
home_improvement,625,15.20
wedding,43,13.95
car,118,12.71
educational,5,0.00
